"ID_LOCAL","MUNICIPIO","UF","REGIAO"
3301108,"CANTAGALO","RJ","Sudeste"
3300936,"CARAPEBUS","RJ","Sudeste"
3301157,"CARDOSO MOREIRA","RJ","Sudeste"
3301207,"CARMO","RJ","Sudeste"
3301306,"CASIMIRO DE ABREU","RJ","Sudeste"
3300951,"COMENDADOR LEVY GASPARIAN","RJ","Sudeste"
3301405,"CONCEIÇÃO DE MACABU","RJ","Sudeste"
3301504,"CORDEIRO","RJ","Sudeste"
3301603,"DUAS BARRAS","RJ","Sudeste"
3301702,"DUQUE DE CAXIAS","RJ","Sudeste"
3301801,"ENGENHEIRO PAULO DE FRONTIN","RJ","Sudeste"
3301850,"GUAPIMIRIM","RJ","Sudeste"
3301876,"IGUABA GRANDE","RJ","Sudeste"
3301900,"ITABORAÍ","RJ","Sudeste"
3302007,"ITAGUAÍ","RJ","Sudeste"
3302056,"ITALVA","RJ","Sudeste"
3302106,"ITAOCARA","RJ","Sudeste"
3302205,"ITAPERUNA","RJ","Sudeste"
3302254,"ITATIAIA","RJ","Sudeste"
3302270,"JAPERI","RJ","Sudeste"
3302304,"LAJE DO MURIAÉ","RJ","Sudeste"
3302403,"MACAÉ","RJ","Sudeste"
3302452,"MACUCO","RJ","Sudeste"
3302502,"MAGÉ","RJ","Sudeste"
3302601,"MANGARATIBA","RJ","Sudeste"
3302700,"MARICÁ","RJ","Sudeste"
3302809,"MENDES","RJ","Sudeste"
3302858,"MESQUITA","RJ","Sudeste"
3302908,"MIGUEL PEREIRA","RJ","Sudeste"
3303005,"MIRACEMA","RJ","Sudeste"
3303104,"NATIVIDADE","RJ","Sudeste"
3303203,"NILÓPOLIS","RJ","Sudeste"
3303302,"NITERÓI","RJ","Sudeste"
3303401,"NOVA FRIBURGO","RJ","Sudeste"
3303500,"NOVA IGUAÇU","RJ","Sudeste"
3303609,"PARACAMBI","RJ","Sudeste"
3303708,"PARAÍBA DO SUL","RJ","Sudeste"
3303807,"PARATI","RJ","Sudeste"
3303856,"PATY DO ALFERES","RJ","Sudeste"
3303906,"PETRÓPOLIS","RJ","Sudeste"
3303955,"PINHEIRAL","RJ","Sudeste"
3304003,"PIRAÍ","RJ","Sudeste"
3304102,"PORCIÚNCULA","RJ","Sudeste"
3304110,"PORTO REAL","RJ","Sudeste"
3304128,"QUATIS","RJ","Sudeste"
3304144,"QUEIMADOS","RJ","Sudeste"
3304151,"QUISSAMÃ","RJ","Sudeste"
3304201,"RESENDE","RJ","Sudeste"
3304300,"RIO BONITO","RJ","Sudeste"
3304409,"RIO CLARO","RJ","Sudeste"
3304508,"RIO DAS FLORES","RJ","Sudeste"
3304524,"RIO DAS OSTRAS","RJ","Sudeste"
3304557,"RIO DE JANEIRO","RJ","Sudeste"
3304607,"SANTA MARIA MADALENA","RJ","Sudeste"
3304706,"SANTO ANTÔNIO DE PÁDUA","RJ","Sudeste"
3304805,"SÃO FIDÉLIS","RJ","Sudeste"
3304755,"SÃO FRANCISCO DE ITABAPOANA","RJ","Sudeste"
3304904,"SÃO GONÇALO","RJ","Sudeste"
3305000,"SÃO JOÃO DA BARRA","RJ","Sudeste"
3305109,"SÃO JOÃO DE MERITI","RJ","Sudeste"
3305133,"SÃO JOSÉ DE UBÁ","RJ","Sudeste"
3305158,"SÃO JOSÉ DO VALE DO RIO PRETO","RJ","Sudeste"
3305208,"SÃO PEDRO DA ALDEIA","RJ","Sudeste"
3305307,"SÃO SEBASTIÃO DO ALTO","RJ","Sudeste"
3305406,"SAPUCAIA","RJ","Sudeste"
3305505,"SAQUAREMA","RJ","Sudeste"
3305554,"SEROPÉDICA","RJ","Sudeste"
3305604,"SILVA JARDIM","RJ","Sudeste"
3305703,"SUMIDOURO","RJ","Sudeste"
3305752,"TANGUÁ","RJ","Sudeste"
3305802,"TERESÓPOLIS","RJ","Sudeste"
3305901,"TRAJANO DE MORAIS","RJ","Sudeste"
3306008,"TRÊS RIOS","RJ","Sudeste"
3306107,"VALENÇA","RJ","Sudeste"
3306156,"VARRE-SAI","RJ","Sudeste"
3306206,"VASSOURAS","RJ","Sudeste"
3306305,"VOLTA REDONDA","RJ","Sudeste"
2400109,"ACARI","RN","Nordeste"
2400208,"AÇU","RN","Nordeste"
2400307,"AFONSO BEZERRA","RN","Nordeste"
2400406,"ÁGUA NOVA","RN","Nordeste"
2400505,"ALEXANDRIA","RN","Nordeste"
2400604,"ALMINO AFONSO","RN","Nordeste"
2400703,"ALTO DO RODRIGUES","RN","Nordeste"
2400802,"ANGICOS","RN","Nordeste"
2400901,"ANTÔNIO MARTINS","RN","Nordeste"
2401008,"APODI","RN","Nordeste"
2401107,"AREIA BRANCA","RN","Nordeste"
2401206,"ARÊS","RN","Nordeste"
2401305,"AUGUSTO SEVERO","RN","Nordeste"
2401404,"BAÍA FORMOSA","RN","Nordeste"
2401453,"BARAÚNA","RN","Nordeste"
2401503,"BARCELONA","RN","Nordeste"
2401602,"BENTO FERNANDES","RN","Nordeste"
2401651,"BODÓ","RN","Nordeste"
2401701,"BOM JESUS","RN","Nordeste"
2401800,"BREJINHO","RN","Nordeste"
2401859,"CAIÇARA DO NORTE","RN","Nordeste"
2401909,"CAIÇARA DO RIO DO VENTO","RN","Nordeste"
2402006,"CAICÓ","RN","Nordeste"
2402105,"CAMPO REDONDO","RN","Nordeste"
2402204,"CANGUARETAMA","RN","Nordeste"
2402303,"CARAÚBAS","RN","Nordeste"
2402402,"CARNAÚBA DOS DANTAS","RN","Nordeste"
2402501,"CARNAUBAIS","RN","Nordeste"
2402600,"CEARÁ-MIRIM","RN","Nordeste"
2402709,"CERRO CORÁ","RN","Nordeste"
2402808,"CORONEL EZEQUIEL","RN","Nordeste"
2402907,"CORONEL JOÃO PESSOA","RN","Nordeste"
2403004,"CRUZETA","RN","Nordeste"
2403103,"CURRAIS NOVOS","RN","Nordeste"
2403202,"DOUTOR SEVERIANO","RN","Nordeste"
2403301,"ENCANTO","RN","Nordeste"
2403400,"EQUADOR","RN","Nordeste"
2403509,"ESPÍRITO SANTO","RN","Nordeste"
