"ID_TEMPO","DATA","NU_ANO","NU_MES","NU_DIA","NU_ANOMES","NM_MES","SG_MES","NM_MESANO","BIMESTRE","TRIMESTRE","SEMESTRE"
1,01/01/16,2016,1,1,201601,"Janeiro  ","Jan","Jan/2016",1,1,1
2,01/02/16,2016,2,1,201602,"Fevereiro","Fev","Fev/2016",1,1,1
3,01/03/16,2016,3,1,201603,"Março    ","Mar","Mar/2016",2,1,1
4,01/04/16,2016,4,1,201604,"Abril    ","Abr","Abr/2016",2,2,1
5,01/05/16,2016,5,1,201605,"Maio     ","Mai","Mai/2016",3,2,1
6,01/06/16,2016,6,1,201606,"Junho    ","Jun","Jun/2016",3,2,1
7,01/07/16,2016,7,1,201607,"Julho    ","Jul","Jul/2016",4,3,2
8,01/08/16,2016,8,1,201608,"Agosto   ","Ago","Ago/2016",4,3,2
9,01/09/16,2016,9,1,201609,"Setembro ","Set","Set/2016",5,3,2
10,01/10/16,2016,10,1,201610,"Outubro  ","Out","Out/2016",5,4,2
11,01/11/16,2016,11,1,201611,"Novembro ","Nov","Nov/2016",6,4,2
12,01/12/16,2016,12,1,201612,"Dezembro ","Dez","Dez/2016",6,4,2
13,01/01/17,2017,1,1,201701,"Janeiro  ","Jan","Jan/2017",1,1,1
14,01/02/17,2017,2,1,201702,"Fevereiro","Fev","Fev/2017",1,1,1
15,01/03/17,2017,3,1,201703,"Março    ","Mar","Mar/2017",2,1,1
16,01/04/17,2017,4,1,201704,"Abril    ","Abr","Abr/2017",2,2,1
17,01/05/17,2017,5,1,201705,"Maio     ","Mai","Mai/2017",3,2,1
18,01/06/17,2017,6,1,201706,"Junho    ","Jun","Jun/2017",3,2,1
19,01/07/17,2017,7,1,201707,"Julho    ","Jul","Jul/2017",4,3,2
20,01/08/17,2017,8,1,201708,"Agosto   ","Ago","Ago/2017",4,3,2
21,01/09/17,2017,9,1,201709,"Setembro ","Set","Set/2017",5,3,2
22,01/10/17,2017,10,1,201710,"Outubro  ","Out","Out/2017",5,4,2
23,01/11/17,2017,11,1,201711,"Novembro ","Nov","Nov/2017",6,4,2
24,01/12/17,2017,12,1,201712,"Dezembro ","Dez","Dez/2017",6,4,2
25,01/01/18,2018,1,1,201801,"Janeiro  ","Jan","Jan/2018",1,1,1
26,01/02/18,2018,2,1,201802,"Fevereiro","Fev","Fev/2018",1,1,1
27,01/03/18,2018,3,1,201803,"Março    ","Mar","Mar/2018",2,1,1
28,01/04/18,2018,4,1,201804,"Abril    ","Abr","Abr/2018",2,2,1
29,01/05/18,2018,5,1,201805,"Maio     ","Mai","Mai/2018",3,2,1
30,01/06/18,2018,6,1,201806,"Junho    ","Jun","Jun/2018",3,2,1
31,01/07/18,2018,7,1,201807,"Julho    ","Jul","Jul/2018",4,3,2
32,01/08/18,2018,8,1,201808,"Agosto   ","Ago","Ago/2018",4,3,2
33,01/09/18,2018,9,1,201809,"Setembro ","Set","Set/2018",5,3,2
34,01/10/18,2018,10,1,201810,"Outubro  ","Out","Out/2018",5,4,2
35,01/11/18,2018,11,1,201811,"Novembro ","Nov","Nov/2018",6,4,2
36,01/12/18,2018,12,1,201812,"Dezembro ","Dez","Dez/2018",6,4,2
